"Pathway","Bacterium","Value","Map","Pathway_Class"
"Pyruvate metabolism","Acidipropionibacterium acidipropionici WSH1105",5.44,"map00620","Metabolism; Carbohydrate metabolism"
"Terpenoid backbone biosynthesis","Acidipropionibacterium acidipropionici WSH1105",5.22,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Pentose phosphate pathway","Acidipropionibacterium acidipropionici WSH1105",5.12,"map00030","Metabolism; Carbohydrate metabolism"
"Citrate cycle (TCA cycle)","Acidipropionibacterium acidipropionici WSH1105",5.11,"map00020","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Acidipropionibacterium acidipropionici WSH1105",4.99,"map00340","Metabolism; Amino acid metabolism"
"Methane metabolism","Acidipropionibacterium acidipropionici WSH1105",4.97,"map00680","Metabolism; Energy metabolism"
"Fructose and mannose metabolism","Acidipropionibacterium acidipropionici WSH1105",4.69,"map00051","Metabolism; Carbohydrate metabolism"
"Arginine biosynthesis","Acidipropionibacterium acidipropionici WSH1105",4.64,"map00220","Metabolism; Amino acid metabolism"
"Starch and sucrose metabolism","Acidipropionibacterium acidipropionici WSH1105",4.53,"map00500","Metabolism; Carbohydrate metabolism"
"Folate biosynthesis","Acidipropionibacterium acidipropionici WSH1105",4.01,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Arginine and proline metabolism","Acidipropionibacterium acidipropionici WSH1105",3.96,"map00330","Metabolism; Amino acid metabolism"
"Inositol phosphate metabolism","Acidipropionibacterium acidipropionici WSH1105",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"Drug metabolism - other enzymes","Acidipropionibacterium acidipropionici WSH1105",3.77,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Glycerophospholipid metabolism","Acidipropionibacterium acidipropionici WSH1105",3.61,"map00564","Metabolism; Lipid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Acidipropionibacterium acidipropionici WSH1105",3.5,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"One carbon pool by folate","Acidipropionibacterium acidipropionici WSH1105",3.28,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Valine; leucine and isoleucine degradation","Acidipropionibacterium acidipropionici WSH1105",3.27,"map00280","Metabolism; Amino acid metabolism"
"Nicotinate and nicotinamide metabolism","Acidipropionibacterium acidipropionici WSH1105",3.23,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Lysine biosynthesis","Acidipropionibacterium acidipropionici WSH1105",3.11,"map00300","Metabolism; Amino acid metabolism"
"Riboflavin metabolism","Acidipropionibacterium acidipropionici WSH1105",2.95,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Pantothenate and CoA biosynthesis","Acidipropionibacterium acidipropionici WSH1105",2.9,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Tryptophan metabolism","Acidipropionibacterium acidipropionici WSH1105",2.83,"map00380","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine biosynthesis","Acidipropionibacterium acidipropionici WSH1105",2.62,"map00290","Metabolism; Amino acid metabolism"
"Nitrogen metabolism","Acidipropionibacterium acidipropionici WSH1105",2.55,"map00910","Metabolism; Energy metabolism"
"Thiamine metabolism","Acidipropionibacterium acidipropionici WSH1105",2.52,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Acidipropionibacterium acidipropionici WSH1105",2.47,"map00920","Metabolism; Energy metabolism"
"Streptomycin biosynthesis","Acidipropionibacterium acidipropionici WSH1105",2.36,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Galactose metabolism","Acidipropionibacterium acidipropionici WSH1105",2.28,"map00052","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Acidipropionibacterium acidipropionici WSH1105",2.28,"map00650","Metabolism; Carbohydrate metabolism"
"Oxidative phosphorylation","Acidipropionibacterium acidipropionici WSH1105",2.2,"map00190","Metabolism; Energy metabolism"
"Carbon fixation in photosynthetic organisms","Acidipropionibacterium acidipropionici WSH1105",2.18,"map00710","Metabolism; Energy metabolism"
"D-Amino acid metabolism","Acidipropionibacterium acidipropionici WSH1105",2.11,"map00470","Metabolism; Metabolism of other amino acids"
"Peptidoglycan biosynthesis","Acidipropionibacterium acidipropionici WSH1105",2.01,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Glutathione metabolism","Acidipropionibacterium acidipropionici WSH1105",1.97,"map00480","Metabolism; Metabolism of other amino acids"
"Phenylalanine metabolism","Acidipropionibacterium acidipropionici WSH1105",1.92,"map00360","Metabolism; Amino acid metabolism"
"Glycerolipid metabolism","Acidipropionibacterium acidipropionici WSH1105",1.8,"map00561","Metabolism; Lipid metabolism"
"beta-Alanine metabolism","Acidipropionibacterium acidipropionici WSH1105",1.64,"map00410","Metabolism; Metabolism of other amino acids"
"Selenocompound metabolism","Acidipropionibacterium acidipropionici WSH1105",1.6,"map00450","Metabolism; Metabolism of other amino acids"
"Taurine and hypotaurine metabolism","Acidipropionibacterium acidipropionici WSH1105",1.53,"map00430","Metabolism; Metabolism of other amino acids"
"O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium acidipropionici WSH1105",1.36,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"C5-Branched dibasic acid metabolism","Acidipropionibacterium acidipropionici WSH1105",1.24,"map00660","Metabolism; Carbohydrate metabolism"
"Vitamin B6 metabolism","Acidipropionibacterium acidipropionici WSH1105",1.21,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Monobactam biosynthesis","Acidipropionibacterium acidipropionici WSH1105",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Biotin metabolism","Acidipropionibacterium acidipropionici WSH1105",0.96,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Novobiocin biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Phenylpropanoid biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.94,"map00940","Metabolism; Biosynthesis of other secondary metabolites"
"Cyanoamino acid metabolism","Acidipropionibacterium acidipropionici WSH1105",0.86,"map00460","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Acidipropionibacterium acidipropionici WSH1105",0.73,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Other glycan degradation","Acidipropionibacterium acidipropionici WSH1105",0.7,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Glycosaminoglycan degradation","Acidipropionibacterium acidipropionici WSH1105",0.7,"map00531","Metabolism; Glycan biosynthesis and metabolism"
"Sphingolipid metabolism","Acidipropionibacterium acidipropionici WSH1105",0.7,"map00600","Metabolism; Lipid metabolism"
"Glycosphingolipid biosynthesis - ganglio series","Acidipropionibacterium acidipropionici WSH1105",0.7,"map00604","Metabolism; Glycan biosynthesis and metabolism"
"Aminobenzoate degradation","Acidipropionibacterium acidipropionici WSH1105",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Acidipropionibacterium acidipropionici WSH1105",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Fatty acid biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.66,"map00061","Metabolism; Lipid metabolism"
"Biosynthesis of various secondary metabolites - part 3","Acidipropionibacterium acidipropionici WSH1105",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Polyketide sugar unit biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.55,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Acarbose and validamycin biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Aminoacyl-tRNA biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Acidipropionibacterium acidipropionici WSH1105",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Lysine degradation","Acidipropionibacterium acidipropionici WSH1105",0.35,"map00310","Metabolism; Amino acid metabolism"
"Tyrosine metabolism","Acidipropionibacterium acidipropionici WSH1105",0.3,"map00350","Metabolism; Amino acid metabolism"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Neomycin; kanamycin and gentamicin biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Acidipropionibacterium acidipropionici WSH1105",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Acidipropionibacterium acidipropionici WSH1105",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Acidipropionibacterium jensenii FAM 19038",105.92,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Acidipropionibacterium jensenii FAM 19038",58.09,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Acidipropionibacterium jensenii FAM 19038",29.42,"map01120","Microbial metabolism in diverse environments"
"Porphyrin and chlorophyll metabolism","Acidipropionibacterium jensenii FAM 19038",11.66,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Acidipropionibacterium jensenii FAM 19038",7.84,"map00260","Metabolism; Amino acid metabolism"
"Carbon fixation pathways in prokaryotes","Acidipropionibacterium jensenii FAM 19038",6.87,"map00720","Metabolism; Energy metabolism"
"Glyoxylate and dicarboxylate metabolism","Acidipropionibacterium jensenii FAM 19038",6.48,"map00630","Metabolism; Carbohydrate metabolism"
"Purine metabolism","Acidipropionibacterium jensenii FAM 19038",6.06,"map00230","Metabolism; Nucleotide metabolism"
"Glycolysis / Gluconeogenesis","Acidipropionibacterium jensenii FAM 19038",5.74,"map00010","Metabolism; Carbohydrate metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Acidipropionibacterium jensenii FAM 19038",5.61,"map00400","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Acidipropionibacterium jensenii FAM 19038",5.5,"map00640","Metabolism; Carbohydrate metabolism"
"Cysteine and methionine metabolism","Acidipropionibacterium jensenii FAM 19038",5.31,"map00270","Metabolism; Amino acid metabolism"
"Alanine; aspartate and glutamate metabolism","Acidipropionibacterium jensenii FAM 19038",5.24,"map00250","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Acidipropionibacterium jensenii FAM 19038",5.22,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Arginine biosynthesis","Acidipropionibacterium jensenii FAM 19038",4.97,"map00220","Metabolism; Amino acid metabolism"
"Methane metabolism","Acidipropionibacterium jensenii FAM 19038",4.97,"map00680","Metabolism; Energy metabolism"
"Pyruvate metabolism","Acidipropionibacterium jensenii FAM 19038",4.84,"map00620","Metabolism; Carbohydrate metabolism"
"Citrate cycle (TCA cycle)","Acidipropionibacterium jensenii FAM 19038",4.51,"map00020","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Acidipropionibacterium jensenii FAM 19038",4.46,"map00030","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Acidipropionibacterium jensenii FAM 19038",4.38,"map00240","Metabolism; Nucleotide metabolism"
"Inositol phosphate metabolism","Acidipropionibacterium jensenii FAM 19038",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"One carbon pool by folate","Acidipropionibacterium jensenii FAM 19038",3.96,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Nicotinate and nicotinamide metabolism","Acidipropionibacterium jensenii FAM 19038",3.91,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium jensenii FAM 19038",3.7,"map00520","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Acidipropionibacterium jensenii FAM 19038",3.57,"map00500","Metabolism; Carbohydrate metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Acidipropionibacterium jensenii FAM 19038",3.5,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Riboflavin metabolism","Acidipropionibacterium jensenii FAM 19038",2.95,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Drug metabolism - other enzymes","Acidipropionibacterium jensenii FAM 19038",2.83,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Thiamine metabolism","Acidipropionibacterium jensenii FAM 19038",2.82,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Fructose and mannose metabolism","Acidipropionibacterium jensenii FAM 19038",2.69,"map00051","Metabolism; Carbohydrate metabolism"
"Valine; leucine and isoleucine biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.58,"map00290","Metabolism; Amino acid metabolism"
"Folate biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.57,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Pantothenate and CoA biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.43,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Lysine biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.38,"map00300","Metabolism; Amino acid metabolism"
"Streptomycin biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.36,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Valine; leucine and isoleucine degradation","Acidipropionibacterium jensenii FAM 19038",2.31,"map00280","Metabolism; Amino acid metabolism"
"Arginine and proline metabolism","Acidipropionibacterium jensenii FAM 19038",2.29,"map00330","Metabolism; Amino acid metabolism"
"Galactose metabolism","Acidipropionibacterium jensenii FAM 19038",2.28,"map00052","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Acidipropionibacterium jensenii FAM 19038",2.28,"map00650","Metabolism; Carbohydrate metabolism"
"Oxidative phosphorylation","Acidipropionibacterium jensenii FAM 19038",2.2,"map00190","Metabolism; Energy metabolism"
"Carbon fixation in photosynthetic organisms","Acidipropionibacterium jensenii FAM 19038",2.18,"map00710","Metabolism; Energy metabolism"
"Peptidoglycan biosynthesis","Acidipropionibacterium jensenii FAM 19038",2.01,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Glutathione metabolism","Acidipropionibacterium jensenii FAM 19038",1.97,"map00480","Metabolism; Metabolism of other amino acids"
"D-Amino acid metabolism","Acidipropionibacterium jensenii FAM 19038",1.84,"map00470","Metabolism; Metabolism of other amino acids"
"Glycerophospholipid metabolism","Acidipropionibacterium jensenii FAM 19038",1.77,"map00564","Metabolism; Lipid metabolism"
"C5-Branched dibasic acid metabolism","Acidipropionibacterium jensenii FAM 19038",1.67,"map00660","Metabolism; Carbohydrate metabolism"
"beta-Alanine metabolism","Acidipropionibacterium jensenii FAM 19038",1.64,"map00410","Metabolism; Metabolism of other amino acids"
"Histidine metabolism","Acidipropionibacterium jensenii FAM 19038",1.58,"map00340","Metabolism; Amino acid metabolism"
"Taurine and hypotaurine metabolism","Acidipropionibacterium jensenii FAM 19038",1.53,"map00430","Metabolism; Metabolism of other amino acids"
"O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium jensenii FAM 19038",1.36,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Nitrogen metabolism","Acidipropionibacterium jensenii FAM 19038",1.26,"map00910","Metabolism; Energy metabolism"
"Tryptophan metabolism","Acidipropionibacterium jensenii FAM 19038",1.21,"map00380","Metabolism; Amino acid metabolism"
"Vitamin B6 metabolism","Acidipropionibacterium jensenii FAM 19038",1.21,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Biotin metabolism","Acidipropionibacterium jensenii FAM 19038",0.96,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Acidipropionibacterium jensenii FAM 19038",0.96,"map00920","Metabolism; Energy metabolism"
"Novobiocin biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Pentose and glucuronate interconversions","Acidipropionibacterium jensenii FAM 19038",0.91,"map00040","Metabolism; Carbohydrate metabolism"
"Glycerolipid metabolism","Acidipropionibacterium jensenii FAM 19038",0.89,"map00561","Metabolism; Lipid metabolism"
"Selenocompound metabolism","Acidipropionibacterium jensenii FAM 19038",0.87,"map00450","Metabolism; Metabolism of other amino acids"
"Cyanoamino acid metabolism","Acidipropionibacterium jensenii FAM 19038",0.86,"map00460","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Acidipropionibacterium jensenii FAM 19038",0.73,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Other glycan degradation","Acidipropionibacterium jensenii FAM 19038",0.7,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Glycosaminoglycan degradation","Acidipropionibacterium jensenii FAM 19038",0.7,"map00531","Metabolism; Glycan biosynthesis and metabolism"
"Sphingolipid metabolism","Acidipropionibacterium jensenii FAM 19038",0.7,"map00600","Metabolism; Lipid metabolism"
"Glycosphingolipid biosynthesis - ganglio series","Acidipropionibacterium jensenii FAM 19038",0.7,"map00604","Metabolism; Glycan biosynthesis and metabolism"
"Fatty acid biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.66,"map00061","Metabolism; Lipid metabolism"
"Biosynthesis of various secondary metabolites - part 3","Acidipropionibacterium jensenii FAM 19038",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Polyketide sugar unit biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.55,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Acarbose and validamycin biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Aminoacyl-tRNA biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Acidipropionibacterium jensenii FAM 19038",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Lysine degradation","Acidipropionibacterium jensenii FAM 19038",0.35,"map00310","Metabolism; Amino acid metabolism"
"Tyrosine metabolism","Acidipropionibacterium jensenii FAM 19038",0.3,"map00350","Metabolism; Amino acid metabolism"
"Phenylalanine metabolism","Acidipropionibacterium jensenii FAM 19038",0.3,"map00360","Metabolism; Amino acid metabolism"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Neomycin; kanamycin and gentamicin biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Acidipropionibacterium jensenii FAM 19038",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Acidipropionibacterium jensenii FAM 19038",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Acidipropionibacterium jensenii FAM 19038",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Acidipropionibacterium thoenii DSM 20276",98.92,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Acidipropionibacterium thoenii DSM 20276",56.82,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Acidipropionibacterium thoenii DSM 20276",25.26,"map01120","Microbial metabolism in diverse environments"
"Porphyrin and chlorophyll metabolism","Acidipropionibacterium thoenii DSM 20276",12.52,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Acidipropionibacterium thoenii DSM 20276",6.92,"map00260","Metabolism; Amino acid metabolism"
"Carbon fixation pathways in prokaryotes","Acidipropionibacterium thoenii DSM 20276",6.87,"map00720","Metabolism; Energy metabolism"
"Glyoxylate and dicarboxylate metabolism","Acidipropionibacterium thoenii DSM 20276",6.48,"map00630","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Acidipropionibacterium thoenii DSM 20276",6.14,"map00240","Metabolism; Nucleotide metabolism"
"Glycolysis / Gluconeogenesis","Acidipropionibacterium thoenii DSM 20276",5.74,"map00010","Metabolism; Carbohydrate metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Acidipropionibacterium thoenii DSM 20276",5.61,"map00400","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Acidipropionibacterium thoenii DSM 20276",5.5,"map00640","Metabolism; Carbohydrate metabolism"
"Cysteine and methionine metabolism","Acidipropionibacterium thoenii DSM 20276",5.31,"map00270","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Acidipropionibacterium thoenii DSM 20276",5.22,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Methane metabolism","Acidipropionibacterium thoenii DSM 20276",4.97,"map00680","Metabolism; Energy metabolism"
"Pyruvate metabolism","Acidipropionibacterium thoenii DSM 20276",4.84,"map00620","Metabolism; Carbohydrate metabolism"
"Alanine; aspartate and glutamate metabolism","Acidipropionibacterium thoenii DSM 20276",4.8,"map00250","Metabolism; Amino acid metabolism"
"Citrate cycle (TCA cycle)","Acidipropionibacterium thoenii DSM 20276",4.51,"map00020","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Acidipropionibacterium thoenii DSM 20276",4.46,"map00030","Metabolism; Carbohydrate metabolism"
"Purine metabolism","Acidipropionibacterium thoenii DSM 20276",4.31,"map00230","Metabolism; Nucleotide metabolism"
"Arginine biosynthesis","Acidipropionibacterium thoenii DSM 20276",4.25,"map00220","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Acidipropionibacterium thoenii DSM 20276",4.19,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"One carbon pool by folate","Acidipropionibacterium thoenii DSM 20276",3.96,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Nicotinate and nicotinamide metabolism","Acidipropionibacterium thoenii DSM 20276",3.91,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Drug metabolism - other enzymes","Acidipropionibacterium thoenii DSM 20276",3.72,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium thoenii DSM 20276",3.7,"map00520","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Acidipropionibacterium thoenii DSM 20276",3.57,"map00500","Metabolism; Carbohydrate metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Acidipropionibacterium thoenii DSM 20276",3.5,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"beta-Alanine metabolism","Acidipropionibacterium thoenii DSM 20276",3.4,"map00410","Metabolism; Metabolism of other amino acids"
"Lysine biosynthesis","Acidipropionibacterium thoenii DSM 20276",3.11,"map00300","Metabolism; Amino acid metabolism"
"Arginine and proline metabolism","Acidipropionibacterium thoenii DSM 20276",2.97,"map00330","Metabolism; Amino acid metabolism"
"Riboflavin metabolism","Acidipropionibacterium thoenii DSM 20276",2.95,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"D-Amino acid metabolism","Acidipropionibacterium thoenii DSM 20276",2.65,"map00470","Metabolism; Metabolism of other amino acids"
"Valine; leucine and isoleucine biosynthesis","Acidipropionibacterium thoenii DSM 20276",2.58,"map00290","Metabolism; Amino acid metabolism"
"Folate biosynthesis","Acidipropionibacterium thoenii DSM 20276",2.52,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Valine; leucine and isoleucine degradation","Acidipropionibacterium thoenii DSM 20276",2.31,"map00280","Metabolism; Amino acid metabolism"
"Butanoate metabolism","Acidipropionibacterium thoenii DSM 20276",2.28,"map00650","Metabolism; Carbohydrate metabolism"
"Carbon fixation in photosynthetic organisms","Acidipropionibacterium thoenii DSM 20276",2.18,"map00710","Metabolism; Energy metabolism"
"Fructose and mannose metabolism","Acidipropionibacterium thoenii DSM 20276",1.99,"map00051","Metabolism; Carbohydrate metabolism"
"Glutathione metabolism","Acidipropionibacterium thoenii DSM 20276",1.97,"map00480","Metabolism; Metabolism of other amino acids"
"Tryptophan metabolism","Acidipropionibacterium thoenii DSM 20276",1.89,"map00380","Metabolism; Amino acid metabolism"
"Peptidoglycan biosynthesis","Acidipropionibacterium thoenii DSM 20276",1.8,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"C5-Branched dibasic acid metabolism","Acidipropionibacterium thoenii DSM 20276",1.67,"map00660","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Acidipropionibacterium thoenii DSM 20276",1.58,"map00052","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Acidipropionibacterium thoenii DSM 20276",1.58,"map00340","Metabolism; Amino acid metabolism"
"Taurine and hypotaurine metabolism","Acidipropionibacterium thoenii DSM 20276",1.53,"map00430","Metabolism; Metabolism of other amino acids"
"Streptomycin biosynthesis","Acidipropionibacterium thoenii DSM 20276",1.53,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium thoenii DSM 20276",1.36,"map00541","Metabolism; Glycan biosynthesis and metabolism"
