"Group","bacteria","pathway"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Other glycan degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Amino sugar and nucleotide sugar metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Streptomycin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Polyketide sugar unit biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Acarbose and validamycin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycosaminoglycan degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","O-Antigen nucleotide sugar biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Peptidoglycan biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycerolipid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Inositol phosphate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycerophospholipid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Sphingolipid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pyruvate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Aminobenzoate degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glyoxylate and dicarboxylate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Propanoate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Styrene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Butanoate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","C5-Branched dibasic acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","One carbon pool by folate"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Methane metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Carbon fixation in photosynthetic organisms"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Carbon fixation pathways in prokaryotes"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Thiamine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Riboflavin metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Vitamin B6 metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Nicotinate and nicotinamide metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pantothenate and CoA biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biotin metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Lipoic acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Folate biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Porphyrin and chlorophyll metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Terpenoid backbone biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Zeatin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Nitrogen metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Sulfur metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Phenylpropanoid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glucosinolate biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Aminoacyl-tRNA biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Drug metabolism - other enzymes"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of various secondary metabolites - part 3"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of ansamycins"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of vancomycin group antibiotics"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Metabolic pathways"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of secondary metabolites"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Microbial metabolism in diverse environments"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Various types of N-glycan biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Lipopolysaccharide biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Ascorbate and aldarate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fatty acid elongation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fatty acid degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Geraniol degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Benzoate degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","alpha-Linolenic acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Dioxin degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Xylene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Toluene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Chloroalkane and chloroalkene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Naphthalene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Retinol metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Caprolactam degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Metabolism of xenobiotics by cytochrome P450"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Drug metabolism - cytochrome P450"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Steroid hormone biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Phosphonate and phosphinate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of various secondary metabolites - part 2"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Primary bile acid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Secondary bile acid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Phenazine biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Aflatoxin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Human immunodeficiency virus 1 infection"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Ethylbenzene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Atrazine degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of unsaturated fatty acids"
"Group1","Acidipropionibacterium acidipropionici WSH1105","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Limonene and pinene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fluorobenzoate degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Polycyclic aromatic hydrocarbon degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Isoquinoline alkaloid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Flavone and flavonol biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Ether lipid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Arachidonic acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Linoleic acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Steroid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Mannose type O-glycan biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycolysis / Gluconeogenesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Citrate cycle (TCA cycle)"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pentose phosphate pathway"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pentose and glucuronate interconversions"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fructose and mannose metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Galactose metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fatty acid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Oxidative phosphorylation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Photosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Arginine biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Purine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pyrimidine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Alanine; aspartate and glutamate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycine; serine and threonine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Monobactam biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Cysteine and methionine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Valine; leucine and isoleucine degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Valine; leucine and isoleucine biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Lysine biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Lysine degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Arginine and proline metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Carbapenem biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Histidine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Tyrosine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Phenylalanine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Tryptophan metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Novobiocin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","beta-Alanine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Taurine and hypotaurine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Selenocompound metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Cyanoamino acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","D-Amino acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glutathione metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Starch and sucrose metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Other glycan degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Amino sugar and nucleotide sugar metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Streptomycin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Polyketide sugar unit biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Acarbose and validamycin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycosaminoglycan degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","O-Antigen nucleotide sugar biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Peptidoglycan biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycerolipid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Inositol phosphate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycerophospholipid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Sphingolipid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pyruvate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Aminobenzoate degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glyoxylate and dicarboxylate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Propanoate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Styrene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Butanoate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","C5-Branched dibasic acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","One carbon pool by folate"
"Group1","Acidipropionibacterium jensenii FAM 19038","Methane metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Carbon fixation in photosynthetic organisms"
"Group1","Acidipropionibacterium jensenii FAM 19038","Carbon fixation pathways in prokaryotes"
"Group1","Acidipropionibacterium jensenii FAM 19038","Thiamine metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Riboflavin metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Vitamin B6 metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Nicotinate and nicotinamide metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pantothenate and CoA biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biotin metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Lipoic acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Folate biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Porphyrin and chlorophyll metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Terpenoid backbone biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Zeatin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Nitrogen metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Sulfur metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Phenylpropanoid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glucosinolate biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Aminoacyl-tRNA biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Drug metabolism - other enzymes"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of various secondary metabolites - part 3"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of ansamycins"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of vancomycin group antibiotics"
"Group1","Acidipropionibacterium jensenii FAM 19038","Metabolic pathways"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of secondary metabolites"
"Group1","Acidipropionibacterium jensenii FAM 19038","Microbial metabolism in diverse environments"
"Group1","Acidipropionibacterium jensenii FAM 19038","Various types of N-glycan biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Lipopolysaccharide biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Acidipropionibacterium jensenii FAM 19038","Ascorbate and aldarate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fatty acid elongation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fatty acid degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Geraniol degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Benzoate degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","alpha-Linolenic acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Dioxin degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Xylene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Toluene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Chloroalkane and chloroalkene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Naphthalene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Retinol metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Caprolactam degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Metabolism of xenobiotics by cytochrome P450"
"Group1","Acidipropionibacterium jensenii FAM 19038","Drug metabolism - cytochrome P450"
"Group1","Acidipropionibacterium jensenii FAM 19038","Steroid hormone biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Phosphonate and phosphinate metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of various secondary metabolites - part 2"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Acidipropionibacterium jensenii FAM 19038","Primary bile acid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Secondary bile acid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Phenazine biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Aflatoxin biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Human immunodeficiency virus 1 infection"
"Group1","Acidipropionibacterium jensenii FAM 19038","Ethylbenzene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Atrazine degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of unsaturated fatty acids"
"Group1","Acidipropionibacterium jensenii FAM 19038","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Acidipropionibacterium jensenii FAM 19038","Limonene and pinene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fluorobenzoate degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Polycyclic aromatic hydrocarbon degradation"
"Group1","Acidipropionibacterium jensenii FAM 19038","Isoquinoline alkaloid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Flavone and flavonol biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Ether lipid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Arachidonic acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Linoleic acid metabolism"
"Group1","Acidipropionibacterium jensenii FAM 19038","Steroid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Mannose type O-glycan biosynthesis"
"Group1","Acidipropionibacterium jensenii FAM 19038","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycolysis / Gluconeogenesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Citrate cycle (TCA cycle)"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pentose phosphate pathway"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pentose and glucuronate interconversions"
"Group1","Acidipropionibacterium thoenii DSM 20276","Fructose and mannose metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Galactose metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Fatty acid biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Oxidative phosphorylation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Photosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Arginine biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Purine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pyrimidine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Alanine; aspartate and glutamate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycine; serine and threonine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Monobactam biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Cysteine and methionine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Valine; leucine and isoleucine degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Valine; leucine and isoleucine biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Lysine biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Lysine degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Arginine and proline metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Carbapenem biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Histidine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Tyrosine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Phenylalanine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Tryptophan metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Novobiocin biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","beta-Alanine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Taurine and hypotaurine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Selenocompound metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Cyanoamino acid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","D-Amino acid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glutathione metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Starch and sucrose metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Other glycan degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Amino sugar and nucleotide sugar metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Streptomycin biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Polyketide sugar unit biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Acarbose and validamycin biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycosaminoglycan degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","O-Antigen nucleotide sugar biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Peptidoglycan biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycerolipid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Inositol phosphate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycerophospholipid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Sphingolipid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pyruvate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Aminobenzoate degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glyoxylate and dicarboxylate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Propanoate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Styrene degradation"
"Group1","Acidipropionibacterium thoenii DSM 20276","Butanoate metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","C5-Branched dibasic acid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","One carbon pool by folate"
"Group1","Acidipropionibacterium thoenii DSM 20276","Methane metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Carbon fixation in photosynthetic organisms"
"Group1","Acidipropionibacterium thoenii DSM 20276","Carbon fixation pathways in prokaryotes"
"Group1","Acidipropionibacterium thoenii DSM 20276","Thiamine metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Riboflavin metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Vitamin B6 metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Nicotinate and nicotinamide metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pantothenate and CoA biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Biotin metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Lipoic acid metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Folate biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Porphyrin and chlorophyll metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Terpenoid backbone biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Zeatin biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Nitrogen metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Sulfur metabolism"
"Group1","Acidipropionibacterium thoenii DSM 20276","Phenylpropanoid biosynthesis"
"Group1","Acidipropionibacterium thoenii DSM 20276","Tropane; piperidine and pyridine alkaloid biosynthesis"
