"Group","bacteria","pathway","genus"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glutathione metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Starch and sucrose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Peptidoglycan biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycerophospholipid metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pyruvate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Propanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Butanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","One carbon pool by folate","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Methane metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Carbon fixation in photosynthetic organisms","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Carbon fixation pathways in prokaryotes","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Thiamine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Riboflavin metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Nicotinate and nicotinamide metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pantothenate and CoA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Porphyrin and chlorophyll metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Terpenoid backbone biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Nitrogen metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Aminoacyl-tRNA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Drug metabolism - other enzymes","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycolysis / Gluconeogenesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Citrate cycle (TCA cycle)","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pentose phosphate pathway","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pentose and glucuronate interconversions","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Fructose and mannose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Galactose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Oxidative phosphorylation","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Photosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Arginine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Purine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pyrimidine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Alanine; aspartate and glutamate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycine; serine and threonine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Cysteine and methionine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Valine; leucine and isoleucine degradation","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Lysine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Tyrosine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Taurine and hypotaurine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Selenocompound metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","D-Amino acid metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glutathione metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Starch and sucrose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Peptidoglycan biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Glycerophospholipid metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pyruvate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Propanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Butanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","One carbon pool by folate","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Methane metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Carbon fixation in photosynthetic organisms","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Carbon fixation pathways in prokaryotes","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Thiamine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Riboflavin metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Nicotinate and nicotinamide metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Pantothenate and CoA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Porphyrin and chlorophyll metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Terpenoid backbone biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Nitrogen metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Aminoacyl-tRNA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium thoenii DSM 20276","Drug metabolism - other enzymes","Acidipropionibacterium"
"Group1","Akkermansia muciniphila JCM 30893","Glycolysis / Gluconeogenesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Citrate cycle (TCA cycle)","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Pentose phosphate pathway","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Pentose and glucuronate interconversions","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Fructose and mannose metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Galactose metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Oxidative phosphorylation","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Photosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Arginine biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Purine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Pyrimidine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Alanine; aspartate and glutamate metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Glycine; serine and threonine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Cysteine and methionine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Valine; leucine and isoleucine degradation","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Lysine biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Tyrosine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Taurine and hypotaurine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Selenocompound metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","D-Amino acid metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Glutathione metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Starch and sucrose metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Amino sugar and nucleotide sugar metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","O-Antigen nucleotide sugar biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Peptidoglycan biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Glycerophospholipid metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Pyruvate metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Propanoate metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Butanoate metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","One carbon pool by folate","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Methane metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Carbon fixation in photosynthetic organisms","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Carbon fixation pathways in prokaryotes","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Thiamine metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Riboflavin metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Nicotinate and nicotinamide metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Pantothenate and CoA biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Porphyrin and chlorophyll metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Terpenoid backbone biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Nitrogen metabolism","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Aminoacyl-tRNA biosynthesis","Akkermansia"
"Group1","Akkermansia muciniphila JCM 30893","Drug metabolism - other enzymes","Akkermansia"
"Group1","Atopobium minutum 10063974","Glycolysis / Gluconeogenesis","Atopobium"
"Group1","Atopobium minutum 10063974","Citrate cycle (TCA cycle)","Atopobium"
"Group1","Atopobium minutum 10063974","Pentose phosphate pathway","Atopobium"
"Group1","Atopobium minutum 10063974","Pentose and glucuronate interconversions","Atopobium"
"Group1","Atopobium minutum 10063974","Fructose and mannose metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Galactose metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Oxidative phosphorylation","Atopobium"
"Group1","Atopobium minutum 10063974","Photosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Arginine biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Purine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Pyrimidine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Alanine; aspartate and glutamate metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Glycine; serine and threonine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Cysteine and methionine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Valine; leucine and isoleucine degradation","Atopobium"
"Group1","Atopobium minutum 10063974","Lysine biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Tyrosine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Taurine and hypotaurine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Selenocompound metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","D-Amino acid metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Glutathione metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Starch and sucrose metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Amino sugar and nucleotide sugar metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","O-Antigen nucleotide sugar biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Peptidoglycan biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Glycerophospholipid metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Pyruvate metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Propanoate metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Butanoate metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","One carbon pool by folate","Atopobium"
"Group1","Atopobium minutum 10063974","Methane metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Carbon fixation in photosynthetic organisms","Atopobium"
"Group1","Atopobium minutum 10063974","Carbon fixation pathways in prokaryotes","Atopobium"
"Group1","Atopobium minutum 10063974","Thiamine metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Riboflavin metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Nicotinate and nicotinamide metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Pantothenate and CoA biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Porphyrin and chlorophyll metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Terpenoid backbone biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Nitrogen metabolism","Atopobium"
"Group1","Atopobium minutum 10063974","Aminoacyl-tRNA biosynthesis","Atopobium"
"Group1","Atopobium minutum 10063974","Drug metabolism - other enzymes","Atopobium"
"Group1","Bacteroides fragilis BE1","Glycolysis / Gluconeogenesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Citrate cycle (TCA cycle)","Bacteroides"
"Group1","Bacteroides fragilis BE1","Pentose phosphate pathway","Bacteroides"
"Group1","Bacteroides fragilis BE1","Pentose and glucuronate interconversions","Bacteroides"
"Group1","Bacteroides fragilis BE1","Fructose and mannose metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Galactose metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Oxidative phosphorylation","Bacteroides"
"Group1","Bacteroides fragilis BE1","Photosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Arginine biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Purine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Pyrimidine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Alanine; aspartate and glutamate metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Glycine; serine and threonine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Cysteine and methionine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Valine; leucine and isoleucine degradation","Bacteroides"
"Group1","Bacteroides fragilis BE1","Lysine biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Tyrosine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Taurine and hypotaurine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Selenocompound metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","D-Amino acid metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Glutathione metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Starch and sucrose metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Amino sugar and nucleotide sugar metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","O-Antigen nucleotide sugar biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Peptidoglycan biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Glycerophospholipid metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Pyruvate metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Propanoate metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Butanoate metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","One carbon pool by folate","Bacteroides"
"Group1","Bacteroides fragilis BE1","Methane metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Carbon fixation in photosynthetic organisms","Bacteroides"
"Group1","Bacteroides fragilis BE1","Carbon fixation pathways in prokaryotes","Bacteroides"
"Group1","Bacteroides fragilis BE1","Thiamine metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Riboflavin metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Nicotinate and nicotinamide metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Pantothenate and CoA biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Porphyrin and chlorophyll metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Terpenoid backbone biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Nitrogen metabolism","Bacteroides"
"Group1","Bacteroides fragilis BE1","Aminoacyl-tRNA biosynthesis","Bacteroides"
"Group1","Bacteroides fragilis BE1","Drug metabolism - other enzymes","Bacteroides"
"Group1","Bifidobacterium adolescentis 1-11","Glycolysis / Gluconeogenesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Citrate cycle (TCA cycle)","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Pentose phosphate pathway","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Pentose and glucuronate interconversions","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Fructose and mannose metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Galactose metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Oxidative phosphorylation","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Photosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Arginine biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Purine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Pyrimidine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Alanine; aspartate and glutamate metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Glycine; serine and threonine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Cysteine and methionine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Valine; leucine and isoleucine degradation","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Lysine biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Tyrosine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Taurine and hypotaurine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Selenocompound metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","D-Amino acid metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Glutathione metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Starch and sucrose metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Amino sugar and nucleotide sugar metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","O-Antigen nucleotide sugar biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Peptidoglycan biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Glycerophospholipid metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Pyruvate metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Propanoate metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Butanoate metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","One carbon pool by folate","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Methane metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Carbon fixation in photosynthetic organisms","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Carbon fixation pathways in prokaryotes","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Thiamine metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Riboflavin metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Nicotinate and nicotinamide metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Pantothenate and CoA biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Porphyrin and chlorophyll metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Terpenoid backbone biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Nitrogen metabolism","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Aminoacyl-tRNA biosynthesis","Bifidobacterium"
"Group1","Bifidobacterium adolescentis 1-11","Drug metabolism - other enzymes","Bifidobacterium"
"Group1","Bifidobacterium animalis subsp. lactis 1528B","Glycolysis / Gluconeogenesis","Bifidobacterium"
"Group1","Bifidobacterium animalis subsp. lactis 1528B","Citrate cycle (TCA cycle)","Bifidobacterium"
"Group1","Bifidobacterium animalis subsp. lactis 1528B","Pentose phosphate pathway","Bifidobacterium"
"Group1","Bifidobacterium animalis subsp. lactis 1528B","Pentose and glucuronate interconversions","Bifidobacterium"
